coordinates,university,campus,suburb,candidate_ranking,rent_ranking,crime_ranking,transport_ranking,rent
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,Albert Park,10,0.01,0.21,0.92,590
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,Abbotsford,11,0.06,0.07,1.0,425
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,West Melbourne,12,0.13,0.06,0.93,388
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,Richmond,13,0.05,0.08,0.97,441
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,Docklands,14,0.08,0.05,0.95,411
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,East Melbourne,15,0.03,0.04,1.0,480
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,East Melbourne,16,0.03,0.04,1.0,480
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,Collingwood,17,0.06,0.05,0.94,425
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,South Melbourne,18,0.07,0.05,0.92,421
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,Port Melbourne,19,0.01,0.11,0.92,540
"-37.8246373844401, 144.96869864716984",University of Melbourne,Southbank,Fitzroy,20,0.04,0.05,0.95,451
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Hawthorn,1,0.1,0.29,0.99,400
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Kensington,2,0.08,0.29,0.99,416
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Flemington,3,0.3,0.09,0.92,300
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Footscray,4,0.18,0.07,1.0,355
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,North Melbourne,5,0.14,0.11,0.97,381
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Carlton,6,0.17,0.1,0.92,365
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,South Yarra,7,0.08,0.11,0.99,415
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Middle park,8,0.01,0.24,0.92,602
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Parkville,9,0.12,0.07,0.97,396
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Albert Park,10,0.01,0.21,0.92,590
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Abbotsford,11,0.06,0.07,1.0,425
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,West Melbourne,12,0.13,0.06,0.93,388
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Richmond,13,0.05,0.08,0.97,441
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Docklands,14,0.08,0.05,0.95,411
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,East Melbourne,15,0.03,0.04,1.0,480
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,East Melbourne,16,0.03,0.04,1.0,480
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Collingwood,17,0.06,0.05,0.94,425
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,South Melbourne,18,0.07,0.05,0.92,421
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Port Melbourne,19,0.01,0.11,0.92,540
"-37.81804718124634, 144.96408465539227",Victoria University,Flinders Street,Fitzroy,20,0.04,0.05,0.95,451
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Hawthorn,1,0.1,0.29,0.99,400
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Kensington,2,0.08,0.29,0.99,416
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Flemington,3,0.3,0.09,0.92,300
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Footscray,4,0.18,0.07,1.0,355
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,North Melbourne,5,0.14,0.11,0.97,381
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Carlton,6,0.17,0.1,0.92,365
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,South Yarra,7,0.08,0.11,0.99,415
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Middle park,8,0.01,0.24,0.92,602
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Parkville,9,0.12,0.07,0.97,396
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Albert Park,10,0.01,0.21,0.92,590
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Abbotsford,11,0.06,0.07,1.0,425
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,West Melbourne,12,0.13,0.06,0.93,388
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Richmond,13,0.05,0.08,0.97,441
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Docklands,14,0.08,0.05,0.95,411
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,East Melbourne,15,0.03,0.04,1.0,480
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,East Melbourne,16,0.03,0.04,1.0,480
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Collingwood,17,0.06,0.05,0.94,425
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,South Melbourne,18,0.07,0.05,0.92,421
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Port Melbourne,19,0.01,0.11,0.92,540
"-37.81730611820295, 144.9649222046106",Victoria University,Flinders Lane,Fitzroy,20,0.04,0.05,0.95,451
"-37.81467245887584, 144.95535419719883",Victoria University,King,Hawthorn,1,0.1,0.29,0.99,400
"-37.81467245887584, 144.95535419719883",Victoria University,King,Kensington,2,0.08,0.29,0.99,416
"-37.81467245887584, 144.95535419719883",Victoria University,King,Flemington,3,0.3,0.09,0.92,300
"-37.81467245887584, 144.95535419719883",Victoria University,King,Footscray,4,0.18,0.07,1.0,355
"-37.81467245887584, 144.95535419719883",Victoria University,King,North Melbourne,5,0.14,0.11,0.97,381
"-37.81467245887584, 144.95535419719883",Victoria University,King,Carlton,6,0.17,0.1,0.92,365
"-37.81467245887584, 144.95535419719883",Victoria University,King,South Yarra,7,0.08,0.11,0.99,415
"-37.81467245887584, 144.95535419719883",Victoria University,King,Middle park,8,0.01,0.24,0.92,602
"-37.81467245887584, 144.95535419719883",Victoria University,King,Parkville,9,0.12,0.07,0.97,396
"-37.81467245887584, 144.95535419719883",Victoria University,King,Albert Park,10,0.01,0.21,0.92,590
"-37.81467245887584, 144.95535419719883",Victoria University,King,Abbotsford,11,0.06,0.07,1.0,425
"-37.81467245887584, 144.95535419719883",Victoria University,King,West Melbourne,12,0.13,0.06,0.93,388
"-37.81467245887584, 144.95535419719883",Victoria University,King,Richmond,13,0.05,0.08,0.97,441
"-37.81467245887584, 144.95535419719883",Victoria University,King,Docklands,14,0.08,0.05,0.95,411
"-37.81467245887584, 144.95535419719883",Victoria University,King,East Melbourne,15,0.03,0.04,1.0,480
"-37.81467245887584, 144.95535419719883",Victoria University,King,East Melbourne,16,0.03,0.04,1.0,480
"-37.81467245887584, 144.95535419719883",Victoria University,King,Collingwood,17,0.06,0.05,0.94,425
"-37.81467245887584, 144.95535419719883",Victoria University,King,South Melbourne,18,0.07,0.05,0.92,421
"-37.81467245887584, 144.95535419719883",Victoria University,King,Port Melbourne,19,0.01,0.11,0.92,540
"-37.81467245887584, 144.95535419719883",Victoria University,King,Fitzroy,20,0.04,0.05,0.95,451
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Hawthorn,1,0.1,0.29,0.99,400
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Kensington,2,0.08,0.29,0.99,416
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Flemington,3,0.3,0.09,0.92,300
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Footscray,4,0.18,0.07,1.0,355
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,North Melbourne,5,0.14,0.11,0.97,381
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Carlton,6,0.17,0.1,0.92,365
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,South Yarra,7,0.08,0.11,0.99,415
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Middle park,8,0.01,0.24,0.92,602
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Parkville,9,0.12,0.07,0.97,396
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Albert Park,10,0.01,0.21,0.92,590
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Abbotsford,11,0.06,0.07,1.0,425
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,West Melbourne,12,0.13,0.06,0.93,388
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Richmond,13,0.05,0.08,0.97,441
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Docklands,14,0.08,0.05,0.95,411
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,East Melbourne,15,0.03,0.04,1.0,480
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,East Melbourne,16,0.03,0.04,1.0,480
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Collingwood,17,0.06,0.05,0.94,425
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,South Melbourne,18,0.07,0.05,0.92,421
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Port Melbourne,19,0.01,0.11,0.92,540
"-37.81226835518794, 144.9606439585769",Victoria University,Queen,Fitzroy,20,0.04,0.05,0.95,451
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,tottenham,1,0.71,0.0,0.87,150
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,kingsville,2,0.18,0.47,0.86,355
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,seddon,3,0.04,0.45,0.98,460
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,yarraville,4,0.03,0.38,0.98,462
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,west footscray,5,0.19,0.25,0.95,351
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,kensington,6,0.08,0.29,0.99,416
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,flemington,7,0.3,0.09,0.92,300
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,sunshine west,8,0.21,0.29,0.8,346
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,spotswood,9,0.04,0.24,0.98,456
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,altona north,10,0.1,0.25,0.88,400
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,braybrook,11,0.27,0.07,0.88,312
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,north melbourne,12,0.14,0.11,0.97,381
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,maidstone,13,0.14,0.14,0.9,381
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,south yarra,14,0.08,0.11,0.99,415
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,melbourne,15,0.14,0.02,1.0,381
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,west melbourne,16,0.13,0.06,0.93,388
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,southbank,17,0.08,0.07,0.94,411
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,docklands,18,0.08,0.05,0.95,411
"-37.80450587975402, 144.89848879771955",Victoria University,Footscray Nicholson,brooklyn,19,0.12,0.05,0.87,391
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,burnside heights,1,0.08,0.62,0.79,411
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,burnside,2,0.1,0.5,0.88,400
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,avondale heights,3,0.1,0.52,0.86,400
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,delahey,4,0.2,0.46,0.78,350
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,keilor east,5,0.09,0.46,0.87,406
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,keilor downs,6,0.18,0.36,0.85,360
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,deer park,7,0.2,0.19,1.0,350
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,keilor,8,0.1,0.47,0.82,400
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,ardeer,9,0.22,0.18,0.98,340
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,caroline springs,10,0.1,0.41,0.87,400
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,kings park,11,0.25,0.32,0.8,321
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,cairnlea,12,0.1,0.34,0.85,400
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,sunshine north,13,0.22,0.11,0.96,341
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,albion,14,0.28,0.11,0.88,301
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,sunshine,15,0.23,0.04,1.0,340
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,keilor park,16,0.12,0.25,0.9,392
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,albanvale,17,0.24,0.23,0.78,325
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,maidstone,18,0.14,0.14,0.9,381
"-37.7522230651568, 144.79803721491538",Victoria University,St Albans,hillside,19,0.14,0.47,0.22,380
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,burnside,1,0.1,0.5,0.88,400
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,avondale heights,2,0.1,0.52,0.86,400
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,newport,3,0.03,0.44,1.0,471
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,seddon,4,0.04,0.45,0.98,460
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,delahey,5,0.2,0.46,0.78,350
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,keilor east,6,0.09,0.46,0.87,406
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,deer park,7,0.2,0.19,1.0,350
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,keilor,8,0.1,0.47,0.82,400
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,caroline springs,9,0.1,0.41,0.87,400
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,ascot vale,10,0.16,0.2,0.98,370
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,laverton north,11,0.47,0.0,0.81,240
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,keilor park,12,0.12,0.25,0.9,392
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,footscray,13,0.18,0.07,1.0,355
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,essendon west,14,0.05,0.56,0.64,450
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,altona north,15,0.1,0.25,0.88,400
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,maidstone,16,0.14,0.14,0.9,381
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,derrimut,17,0.1,0.19,0.81,400
"-37.77716537847656, 144.83542897258846",Victoria University,Sunshine,hillside,18,0.14,0.47,0.22,380
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,manor lakes,1,0.18,0.79,0.99,360
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,tarneit,2,0.15,0.44,0.98,380
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,seabrook,3,0.17,0.49,0.84,361
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,burnside,4,0.1,0.5,0.88,400
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,point cook,5,0.11,0.5,0.85,400
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,altona meadows,6,0.22,0.34,0.88,341
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,williams landing,7,0.07,0.38,0.97,420
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,deer park,8,0.2,0.19,1.0,350
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,seaholme,9,0.04,0.38,0.95,451
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,truganina,10,0.13,0.42,0.8,390
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,laverton,11,0.24,0.12,0.98,330
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,altona,12,0.13,0.24,0.96,385
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,sunshine west,13,0.21,0.29,0.8,346
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,laverton north,14,0.47,0.0,0.81,240
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,werribee south,15,0.21,0.28,0.75,350
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,altona north,16,0.1,0.25,0.88,400
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,wyndham vale,17,0.22,0.21,0.78,343
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,derrimut,18,0.1,0.19,0.81,400
"-37.894522279493216, 144.70229128237773",Victoria University,Werribee,brooklyn,19,0.12,0.05,0.87,391
