sal_code,sal_name,population,median_weekly_rent,crime_incidents,crime_rate,train_station,num_stops,transport_frequency
SAL20100,Bagshot North,39,210,0,0.0,0,0,0
SAL20101,Bahgallah,56,175,4,0.07142857142857142,0,0,0
SAL20102,Bailieston,120,275,4,0.03333333333333333,0,0,0
SAL20103,Bairnsdale,7905,270,1790,0.22643896268184693,1,29,469
SAL20104,Bakery Hill,180,313,111,0.6166666666666667,0,2,107
SAL20105,Balaclava,5392,386,624,0.11572700296735905,1,13,4740
SAL20106,Bald Hills,114,230,7,0.06140350877192982,0,0,0
SAL20107,Balintore,59,300,2,0.03389830508474576,0,0,0
SAL20108,Ballan,3392,330,201,0.05925707547169811,1,12,2703
SAL20109,Ballangeich,71,150,4,0.056338028169014086,0,1,4
SAL20110,Ballapur,19,80,0,0.0,0,0,0
SAL20111,Ballarat Central,5378,300,2057,0.3824841948679807,1,62,2964
SAL20112,Ballarat East,5937,290,681,0.1147043961596766,0,38,182
SAL20113,Ballarat North,4041,285,191,0.04726552833457065,0,19,215
SAL20114,Ballendella,120,120,8,0.06666666666666667,0,0,0
SAL20115,Balliang,254,300,19,0.07480314960629922,0,0,0
SAL20116,Balliang East,199,410,10,0.05025125628140704,0,0,0
SAL20117,Ballyrogan,77,114,5,0.06493506493506493,0,0,0
SAL20118,Balmattum,135,260,7,0.05185185185185185,0,0,0
SAL20119,Balmoral,281,100,3,0.010676156583629894,0,0,0
SAL20120,Balnarring,2371,480,52,0.021931674398987768,0,1,153
SAL20121,Balnarring Beach,471,423,13,0.027600849256900213,0,0,0
SAL20122,Balook,9,0,0,0.0,0,0,0
SAL20123,Balwyn,13495,451,394,0.02919599851796962,0,70,1018
SAL20124,Balwyn North,21302,554,540,0.02534973241949113,0,89,906
SAL20125,Bamawm,491,213,41,0.0835030549898167,0,0,0
SAL20126,Bamawm Extension,282,160,5,0.01773049645390071,0,0,0
SAL20127,Bambra,115,300,1,0.008695652173913044,0,0,0
SAL20128,Bamganie,44,275,2,0.045454545454545456,0,0,0
SAL20129,Bandiana,855,380,28,0.03274853801169591,0,0,0
SAL20130,Bangerang,62,200,0,0.0,0,0,0
SAL20131,Bangholme,749,176,80,0.1068090787716956,0,11,402
SAL20132,Bannerton,78,230,3,0.038461538461538464,0,1,100
SAL20133,Bannockburn,6470,390,158,0.024420401854714065,0,4,322
SAL20134,Banyan,22,0,1,0.045454545454545456,0,0,0
SAL20135,Banyena,27,0,2,0.07407407407407407,0,0,0
SAL20136,Baranduda,3041,355,56,0.018414995067412034,0,8,40
SAL20137,Barfold,82,165,2,0.024390243902439025,0,0,0
SAL20138,Baringhup,185,323,4,0.021621621621621623,0,1,2
SAL20139,Baringhup West,11,250,0,0.0,0,0,0
SAL20140,Barjarg,141,253,3,0.02127659574468085,0,0,0
SAL20141,Barkers Creek,487,250,8,0.01642710472279261,0,0,0
SAL20142,Barkly,49,0,4,0.08163265306122448,0,0,0
SAL20143,Barkstead,41,0,0,0.0,0,0,0
SAL20144,Barmah,229,190,25,0.1091703056768559,0,2,181
SAL20145,Barnadown,12,100,2,0.16666666666666666,0,0,0
SAL20146,Barnawartha,987,293,51,0.05167173252279635,0,1,15
SAL20147,Barnawartha North,188,210,30,0.1595744680851064,0,0,0
SAL20148,Baromi,149,298,3,0.020134228187919462,0,0,0
SAL20149,Barongarook,458,300,7,0.015283842794759825,0,0,0
SAL20150,Barongarook West,291,370,10,0.03436426116838488,0,0,0
SAL20151,Barrabool,247,301,2,0.008097165991902834,0,0,0
SAL20152,Barrakee,22,0,0,0.0,0,0,0
SAL20153,Barramunga,11,220,3,0.2727272727272727,0,1,4
SAL20154,Barraport,45,235,0,0.0,0,2,22
SAL20155,Barraport West,5,0,0,0.0,0,0,0
SAL20156,Barrys Reef,39,268,1,0.02564102564102564,0,0,0
SAL20157,Barunah Park,33,0,1,0.030303030303030304,0,0,0
SAL20158,Barunah Plains,10,0,0,0.0,0,0,0
SAL20159,Barwidgee,96,200,9,0.09375,0,0,0
SAL20160,Barwite,269,250,2,0.007434944237918215,0,0,0
SAL20161,Barwon Downs,136,230,3,0.022058823529411766,0,2,2
SAL20162,Barwon Heads,4353,450,144,0.03308063404548587,0,25,98
SAL20163,Basalt,23,0,0,0.0,0,0,0
SAL20164,Bass,405,225,59,0.145679012345679,0,2,340
SAL20165,Batesford,1141,325,16,0.014022787028921999,0,4,161
SAL20166,Bathumi,76,250,1,0.013157894736842105,0,0,0
SAL20167,Baw Baw,0,0,1,0,0,0,0
SAL20168,Baw Baw Village,30,0,0,0.0,0,0,0
SAL20169,Baxter,2166,360,212,0.09787626962142197,1,8,380
SAL20170,Bayindeen,22,0,0,0.0,0,0,0
SAL20171,Bayles,445,425,17,0.038202247191011236,0,0,0
SAL20172,Baynton,95,305,6,0.06315789473684211,0,0,0
SAL20173,Bayswater,12262,375,1116,0.09101288533681291,1,61,3182
SAL20174,Bayswater North,9014,360,710,0.0787663634346572,0.5,66,642
SAL20175,Beaconsfield,7267,390,257,0.03536535021329297,1,26,3747
SAL20176,Beaconsfield Upper,2997,368,46,0.015348682015348681,0,0,0
SAL20177,Bealiba,213,130,11,0.051643192488262914,0,2,43
SAL20178,Bearii,167,185,20,0.11976047904191617,0,0,0
SAL20179,Bears Lagoon,53,125,3,0.05660377358490566,0,2,57
SAL20180,Beauchamp,44,185,0,0.0,0,0,0
SAL20181,Beaufort,1712,250,155,0.0905373831775701,1,3,828
SAL20182,Beaumaris,13947,612,294,0.02107980210798021,0,69,254
SAL20183,Beazleys Bridge,24,0,1,0.041666666666666664,0,0,0
SAL20184,Beeac,394,220,15,0.03807106598984772,0,0,0
SAL20185,Beech Forest,125,185,7,0.056,0,0,0
SAL20186,Beechworth,4274,300,130,0.030416471689284044,0,2,411
SAL20187,Beenak,17,340,0,0.0,0,0,0
SAL20188,Belgrave,3894,401,352,0.0903954802259887,1,33,2804
