sal_code,sal_name,population,median_weekly_rent
SAL20342,Brimpaen,80,115
SAL20343,Bringalbert,6,0
SAL20344,Brit Brit,42,140
SAL20345,Broadford,4592,314
SAL20346,Broadmeadows,12524,331
SAL20347,Broadwater,75,115
SAL20348,Brodribb River,29,735
SAL20349,Broken Creek,45,70
SAL20350,Bromley,46,0
SAL20351,Brookfield,10782,350
SAL20352,Brooklyn,1979,391
SAL20353,Brookville,16,100
SAL20354,Broomfield,213,200
SAL20355,Broughton,65,0
SAL20356,Brown Hill,4489,290
SAL20357,Browns Plains,99,200
SAL20358,Bruarong,114,250
SAL20359,Brucknell,127,100
SAL20360,Brumby,0,0
SAL20361,Brunswick,24896,441
SAL20362,Brunswick East,13279,421
SAL20363,Brunswick West,14746,366
SAL20364,Bruthen,820,250
SAL20365,Buangor,112,210
SAL20366,Buchan,201,158
SAL20367,Buchan South,102,125
SAL20368,Buckland,156,275
SAL20369,Buckley,228,360
SAL20370,Buckley Swamp,21,115
SAL20371,Buckrabanyule,52,100
SAL20372,Budgee Budgee,0,0
SAL20373,Budgeree,146,100
SAL20374,Budgerum East,0,0
SAL20375,Buffalo,284,260
SAL20376,Buffalo River,285,130
SAL20377,Bulart,104,250
SAL20378,Buldah,5,0
SAL20379,Bulga,0,0
SAL20380,Bulgana,19,0
SAL20381,Bulla,668,348
SAL20382,Bullaharre,19,330
SAL20383,Bullarook,77,245
SAL20384,Bullarto,89,350
SAL20385,Bullarto South,48,0
SAL20386,Bulleen,11219,459
SAL20387,Bullengarook,714,300
SAL20388,Bullioh,63,250
SAL20389,Bullumwaal,45,315
SAL20390,Buln Buln,551,258
SAL20391,Buln Buln East,182,250
SAL20392,Bumberrah,101,285
SAL20393,Bunbartha,313,275
SAL20394,Bundalaguah,229,233
SAL20395,Bundalong,512,350
SAL20396,Bundalong South,42,285
SAL20397,Bundara,0,0
SAL20398,Bunding,61,450
SAL20399,Bundoora,28068,381
SAL20400,Bung Bong,63,160
SAL20401,Bungador,65,200
SAL20402,Bungal,32,348
SAL20403,Bungalally,93,200
SAL20404,Bungaree,302,245
SAL20405,Bungeet,29,0
SAL20406,Bungeet West,44,210
SAL20407,Bungil,0,0
SAL20408,Bunguluke,18,375
SAL20409,Buninyong,3797,305
SAL20410,Bunkers Hill,270,335
SAL20411,Bunyip,3131,320
SAL20412,Bunyip North,95,414
SAL20413,Buragwonduc,0,0
SAL20414,Burkes Bridge,14,0
SAL20415,Burkes Flat,20,0
SAL20416,Burnbank,47,165
SAL20417,Burnewang,37,340
SAL20418,Burnley,794,440
SAL20419,Burnside,5800,400
SAL20420,Burnside Heights,6377,411
SAL20421,Burramboot,36,0
SAL20422,Burramine,241,253
SAL20423,Burramine South,24,291
SAL20424,Burrowye,24,0
SAL20425,Burrumbeet,249,135
SAL20426,Burwood,15147,411
SAL20427,Burwood East,10675,439
SAL20428,Bushfield,596,350
SAL20429,Bushy Park,49,300
SAL20430,Butchers Ridge,7,0
SAL20431,Buxton,591,348
SAL20432,Byaduk,129,110
SAL20433,Byaduk North,134,325
SAL20434,Byawatha,160,300
SAL20435,Bylands,117,210
SAL20436,Byrneside,161,230
SAL20437,Cabarita,482,250
SAL20438,Cabbage Tree,10,200
SAL20439,Cabbage Tree Creek,52,250
SAL20440,Cadello,25,0
SAL20441,Cairnlea,10038,400
SAL20442,Calder Park,0,0
SAL20443,Caldermeade,181,269
SAL20444,California Gully,4476,251
SAL20445,Calivil,178,100
SAL20446,Callawadda,45,190
SAL20447,Callignee,391,200
SAL20448,Callignee North,42,270
SAL20449,Callignee South,10,145
SAL20450,Calrossie,30,178
SAL20451,Calulu,186,263
SAL20452,Cambarville,0,0
SAL20453,Camberwell,21965,486
SAL20454,Cambrian Hill,292,260
SAL20455,Campbellfield,4977,320
SAL20456,Campbells Bridge,21,175
SAL20457,Campbells Creek,2071,320
SAL20458,Campbells Forest,50,220
SAL20459,Campbelltown,51,200
SAL20460,Camperdown,3354,240
SAL20461,Canadian,4098,300
SAL20462,Canary Island,4,0
SAL20463,Caniambo,82,260
SAL20464,Cann River,197,120
SAL20465,Cannie,16,110
SAL20466,Cannons Creek,650,313
SAL20467,Cannum,45,110
SAL20468,Canterbury,7800,515
SAL20469,Cape Bridgewater,151,283
SAL20470,Cape Clear,148,180
SAL20471,Cape Conran,5,250
SAL20472,Cape Otway,34,351
SAL20473,Cape Paterson,1111,300
SAL20474,Cape Schanck,569,359
SAL20475,Cape Woolamai,2301,340
SAL20476,Capel Sound,5246,350
SAL20477,Capels Crossing,54,175
SAL20478,Carag Carag,61,175
SAL20479,Caralulup,3,0
SAL20480,Caramut,256,150
SAL20481,Carapooee,60,160
SAL20482,Carapooee West,40,0
SAL20483,Carapook,67,120
SAL20484,Carboor,97,120
SAL20485,Cardigan,1064,350
SAL20486,Cardigan Village,957,300
SAL20487,Cardinia,342,390
SAL20488,Cardross,847,200
SAL20489,Cargerie,38,0
SAL20490,Carina,26,85
SAL20491,Caringal,16,185
SAL20492,Carisbrook,1192,223
SAL20493,Carlisle River,168,200
SAL20494,Carlsruhe,382,275
SAL20495,Carlton,16055,365
SAL20496,Carlton North,6177,552
SAL20497,Carlyle,82,200
SAL20498,Carnegie,17909,395
SAL20499,Carngham,171,180
SAL20500,Caroline Springs,24488,400
SAL20501,Carpendeit,115,200
SAL20502,Carrajung,100,250
SAL20503,Carrajung Lower,129,250
SAL20504,Carrajung South,42,0
SAL20505,Carranballac,43,120
SAL20506,Carron,18,0
SAL20507,Carrum,4239,406
SAL20508,Carrum Downs,21976,370
SAL20509,Carwarp,68,118
SAL20510,Cashmore,197,200
SAL20511,Cassilis,21,0
SAL20512,Castella,257,420
SAL20513,Casterton,1673,160
SAL20514,Castle Creek,85,430
SAL20515,Castle Donnington,139,250
SAL20516,Castlemaine,7506,300
SAL20517,Catani,297,210
SAL20518,Cathcart,110,138
SAL20519,Cathkin,27,331
SAL20520,Catumnal,14,0
SAL20521,Caulfield,5748,475
SAL20522,Caulfield East,1293,320
SAL20523,Caulfield North,16903,422
SAL20524,Caulfield South,12328,496
SAL20525,Caveat,59,50
SAL20526,Cavendish,366,175
SAL20527,Ceres,266,250
SAL20528,Chadstone,9552,421
SAL20529,Chandlers Creek,0,0
SAL20530,Chapel Flat,0,0
SAL20531,Chapple Vale,42,0
SAL20532,Charam,42,0
SAL20533,Charlemont,2612,415
SAL20534,Charleroi,82,245
SAL20535,Charlton,1095,200
SAL20536,Chatsworth,49,462
SAL20537,Chelsea,8347,375
SAL20538,Chelsea Heights,5393,412
SAL20539,Cheltenham,23992,430
SAL20540,Chepstowe,60,100
SAL20541,Cherokee,68,300
SAL20542,Cherrypool,3,0
SAL20543,Cheshunt,213,115
SAL20544,Cheshunt South,0,0
SAL20545,Chesney Vale,204,200
SAL20546,Chetwynd,85,123
SAL20547,Chewton,763,300
SAL20548,Chewton Bushlands,50,800
SAL20549,Childers,91,130
SAL20550,Chillingollah,3,80
SAL20551,Chiltern,1580,260
SAL20552,Chiltern Valley,77,140
SAL20553,Chinangin,3,100
SAL20554,Chinkapook,17,0
SAL20555,Chintin,111,450
SAL20556,Chirnside Park,11779,443
SAL20557,Chirrip,8,0
SAL20558,Chocolyn,61,200
SAL20559,Christmas Hills,365,353
SAL20560,Chum Creek,981,361
SAL20561,Churchill,4924,230
SAL20562,Churchill Island,0,0
SAL20563,Chute,13,0
SAL20564,Clarendon,163,350
SAL20565,Claretown,35,280
SAL20566,Clarinda,7441,394
SAL20567,Clarkefield,303,345
SAL20568,Clarkes Hill,75,185
SAL20569,Clayton,18988,400
SAL20570,Clayton South,13381,381
SAL20571,Clear Lake,57,120
SAL20572,Clematis,352,372
SAL20573,Clifton Creek,252,300
SAL20574,Clifton Hill,6606,550
SAL20575,Clifton Springs,7646,350
SAL20576,Clonbinane,347,475
SAL20577,Clover Flat,15,0
SAL20578,Cloverlea,178,235
SAL20579,Club Terrace,25,0
SAL20580,Clunes,1844,220
SAL20581,Clyde,11177,401
SAL20582,Clyde North,31681,410
SAL20583,Clydebank,133,255
SAL20584,Clydesdale,62,195
SAL20585,Coalville,55,0
SAL20586,Cobains,245,240
SAL20587,Cobaw,104,568
SAL20588,Cobbannah,0,0
SAL20589,Cobberas,0,0
SAL20590,Cobblebank,3601,370
SAL20591,Cobden,1804,220
SAL20592,Cobram,6148,250
SAL20593,Cobram East,232,320
SAL20594,Cobrico,72,0
SAL20595,Cobungra,58,0
SAL20596,Coburg,26574,430
SAL20597,Coburg North,8327,401
SAL20598,Cocamba,4,0
SAL20599,Cochranes Creek,9,0
SAL20600,Cockatoo,4408,370
SAL20601,Cocoroc,0,0
SAL20602,Codrington,37,50
SAL20603,Coghills Creek,80,0
SAL20604,Cohuna,2415,185
SAL20605,Coimadai,409,320
SAL20606,Cokum,0,0
SAL20607,Colac,9243,260
SAL20608,Colac Colac,61,200
SAL20609,Colac East,168,230
SAL20610,Colac West,89,230
SAL20611,Colbinabbin,285,200
SAL20612,Colbrook,41,200
SAL20613,Coldstream,2199,371
SAL20614,Coleraine,1062,140
SAL20615,Colignan,305,120
SAL20616,Collingwood,9179,425
SAL20617,Combienbar,7,0
SAL20618,Concongella,146,230
SAL20619,Condah,104,206
SAL20620,Congupna,620,295
SAL20621,Connewarre,953,365
SAL20622,Connewirricoo,23,0
SAL20623,Coojar,38,0
SAL20624,Coolaroo,3193,335
SAL20625,Cooma,94,250
SAL20626,Coomboona,134,320
SAL20627,Coomoora,308,300
SAL20628,Coongulla,229,210
SAL20629,Coonooer Bridge,30,0
SAL20630,Coonooer West,18,0
SAL20631,Cooriemungle,311,180
SAL20632,Cope Cope,42,140
SAL20633,Cora Lynn,220,250
SAL20634,Corack,33,115
SAL20635,Corack East,10,0
SAL20636,Coragulac,171,213
SAL20637,Coral Bank,88,215
SAL20638,Corindhap,131,200
SAL20639,Corinella,1181,320
SAL20640,Corio,15497,280
SAL20641,Corndale,27,0
SAL20642,Cornella,43,0
SAL20643,Cornishtown,94,290
SAL20644,Coronet Bay,1108,281
SAL20645,Corop,161,210
SAL20646,Cororooke,358,230
SAL20647,Corringle,17,225
SAL20648,Corryong,1352,200
SAL20649,Corunnun,119,140
SAL20650,Cosgrove,50,200
SAL20651,Cosgrove South,53,200
SAL20652,Costerfield,70,50
SAL20653,Cotswold,20,100
SAL20654,Cottles Bridge,609,260
SAL20655,Cowa,0,0
SAL20656,Cowangie,33,370
SAL20657,Cowes,6593,331
SAL20658,Cowleys Creek,34,200
SAL20659,Cowwarr,389,215
SAL20660,Craigie,62,0
SAL20661,Craigieburn,65178,380
SAL20662,Cranbourne,21281,342
SAL20663,Cranbourne East,24679,400
SAL20664,Cranbourne North,24683,385
SAL20665,Cranbourne South,3241,470
SAL20666,Cranbourne West,19969,375
SAL20667,Creek Junction,34,180
SAL20668,Creek View,39,0
SAL20669,Creightons Creek,162,250
SAL20670,Cremorne,2158,550
SAL20671,Cressy,176,250
SAL20672,Creswick,3279,275
SAL20673,Creswick North,55,300
SAL20674,Crib Point,3343,340
SAL20675,Crookayan,0,0
SAL20676,Crooked River,5,0
SAL20677,Cross Roads,27,180
SAL20678,Crossley,235,265
SAL20679,Crossover,161,350
SAL20680,Crowlands,72,119
SAL20681,Croxton East,70,250
SAL20682,Croydon,28608,380
SAL20683,Croydon Hills,4839,491
SAL20684,Croydon North,8092,410
SAL20685,Croydon South,4759,410
SAL20686,Crymelon,15,200
SAL20687,Cudgee,311,225
SAL20688,Cudgewa,254,130
SAL20689,Culgoa,86,55
SAL20690,Culla,31,65
SAL20691,Cullen,36,195
SAL20692,Cullulleraine,81,105
SAL20693,Cundare,15,0
SAL20694,Cundare North,10,270
SAL20695,Curdies River,25,75
SAL20696,Curdievale,125,190
SAL20697,Curlewis,4175,405
SAL20698,Curyo,20,60
SAL20699,Dadswells Bridge,69,196
SAL20700,Daisy Hill,398,230
SAL20701,Dales Creek,403,271
SAL20702,Dallas,6762,323
SAL20703,Dalmore,142,300
SAL20704,Daltons Bridge,57,0
SAL20705,Dalyenong,0,0
SAL20706,Dalyston,843,280
SAL20707,Dandenong,30127,319
SAL20708,Dandenong North,22550,341
SAL20709,Dandenong South,125,245
SAL20710,Dandongadale,8,0
SAL20711,Dargo,105,160
SAL20712,Darley,9190,320
SAL20713,Darlimurla,46,0
SAL20714,Darlington,84,155
SAL20715,Darnum,759,307
SAL20716,Darraweit Guim,402,261
SAL20717,Darriman,12,0
SAL20718,Dartmoor,299,153
SAL20719,Dartmouth,130,200
SAL20720,Dawson,40,230
SAL20721,Daylesford,2781,331
SAL20722,Dean,132,260
SAL20723,Deans Marsh,368,288
SAL20724,Deanside,654,401
SAL20725,Deddick Valley,12,50
SAL20726,Dederang,198,162
SAL20727,Deep Lead,210,450
SAL20728,Deepdene,2101,501
SAL20729,Deer Park,18145,350
SAL20730,Delacombe,5408,310
SAL20731,Delahey,8077,350
SAL20732,Delatite,13,150
SAL20733,Delburn,37,220
SAL20734,Delegate River,41,0
SAL20735,Denicull Creek,19,0
SAL20736,Denison,453,200
SAL20737,Dennington,1994,370
SAL20738,Denver,148,350
SAL20739,Deptford,0,0
SAL20740,Derby,18,92
SAL20741,Dereel,664,300
SAL20742,Dergholm,57,130
SAL20743,Derrimut,8651,400
SAL20744,Derrinal,99,320
SAL20745,Derrinallum,386,170
SAL20746,Devenish,208,245
SAL20747,Devils River,14,0
SAL20748,Devon Meadows,1551,392
SAL20749,Devon North,352,250
SAL20750,Dewhurst,151,300
SAL20751,Dhurringile,369,215
SAL20752,Diamond Creek,12503,430
SAL20753,Digby,122,120
SAL20754,Diggers Rest,5669,397
SAL20755,Diggora,78,200
SAL20756,Dimboola,1635,170
SAL20757,Dingee,195,100
SAL20758,Dingley Village,10495,450
SAL20759,Dingwall,99,215
SAL20760,Dinner Plain,128,269
SAL20761,Dixie,148,245
SAL20762,Dixons Creek,344,330
SAL20763,Dobie,33,346
SAL20764,Docker,106,250
SAL20765,Dockers Plains,59,195
SAL20766,Docklands,15495,411
SAL20767,Doctors Flat,13,0
SAL20768,Dollar,61,258
SAL20769,Don Valley,586,270
SAL20770,Donald,1472,180
SAL20771,Doncaster,25020,450
SAL20772,Doncaster East,30926,462
SAL20773,Donnybrook,2100,401
SAL20774,Donvale,12644,450
SAL20775,Dooboobetic,13,92
SAL20776,Dooen,250,150
SAL20777,Dookie,333,210
SAL20778,Dookie College,51,185
SAL20779,Doreen,27122,397
SAL20780,Dorodong,21,100
SAL20781,Double Bridges,0,0
SAL20782,Douglas,74,0
SAL20783,Doveton,9603,320
SAL20784,Dreeite,77,350
SAL20785,Dreeite South,28,0
SAL20786,Driffield,101,225
SAL20787,Drik Drik,46,160
SAL20788,Dromana,6626,380
SAL20789,Dropmore,19,0
SAL20790,Drouin,15287,330
SAL20791,Drouin East,177,298
SAL20792,Drouin South,343,313
SAL20793,Drouin West,361,193
SAL20794,Drumanure,41,320
SAL20795,Drumborg,160,180
SAL20796,Drumcondra,571,331
SAL20797,Drummartin,42,100
SAL20798,Drummond,294,380
SAL20799,Drummond North,203,230
SAL20800,Drung,119,190
SAL20801,Dry Diggings,41,321
SAL20802,Drysdale,4976,340
SAL20803,Duchembegarra,47,0
SAL20804,Dumbalk,455,268
SAL20805,Dumbalk North,90,400
SAL20806,Dumosa,18,0
SAL20807,Dunach,83,200
SAL20808,Dundonnell,52,255
SAL20809,Dunkeld,688,220
SAL20810,Dunluce,36,0
SAL20811,Dunneworthy,15,160
SAL20812,Dunnstown,259,175
SAL20813,Dunolly,899,192
SAL20814,Dunrobin,70,0
SAL20815,Durdidwarrah,12,230
SAL20816,Durham Lead,408,412
SAL20817,Durham Ox,60,115
SAL20818,Dutson,32,500
SAL20819,Dutson Downs,0,0
SAL20820,Dutton Way,91,210
SAL20821,Duverney,23,0
SAL20822,Eagle Point,1306,310
SAL20823,Eaglehawk,5538,265
SAL20824,Eaglehawk North,13,0
SAL20825,Eaglemont,3960,453
SAL20826,Earlston,82,0
SAL20827,East Bairnsdale,1352,250
SAL20828,East Bendigo,2246,295
SAL20829,East Geelong,4012,350
SAL20830,East Melbourne,4896,480
SAL20831,East Sale,210,75
SAL20832,East Wangaratta,66,231
SAL20833,East Warburton,906,300
SAL20834,Eastern View,47,0
SAL20835,Eastville,13,250
SAL20836,Eastwood,2855,370
SAL20837,Ebden,110,100
SAL20838,Echuca,15056,285
SAL20839,Echuca Village,577,250
SAL20840,Echuca West,442,350
SAL20841,Ecklin South,222,200
