SAL20001,4,0
SAL20002,9088,425
SAL20003,3925,440
SAL20004,7,0
SAL20005,146,271
SAL20006,0,0
SAL20007,83,300
SAL20008,65,150
SAL20009,85,0
SAL20010,61,195
SAL20011,7982,420
SAL20012,0,0
SAL20013,979,350
SAL20014,160,330
SAL20015,8173,401
SAL20016,0,0
SAL20017,5641,325
SAL20018,6044,590
SAL20019,297,255
SAL20020,76,210
SAL20021,4334,301
SAL20022,2801,240
SAL20023,11822,365
SAL20024,24,0
SAL20025,96,100
SAL20026,61,260
SAL20027,297,340
SAL20028,1410,268
SAL20029,185,187
SAL20030,168,263
SAL20031,195,275
SAL20032,31,0
SAL20033,66,275
SAL20034,5702,451
SAL20035,11490,385
SAL20036,18479,341
SAL20037,12962,400
SAL20038,141,250
SAL20039,63,200
SAL20040,4,0
SAL20041,223,233
SAL20042,734,300
SAL20043,99,295
SAL20044,26,260
SAL20045,31,0
SAL20046,3208,405
SAL20047,40,0
SAL20048,53,0
SAL20049,1790,300
SAL20050,12,50
SAL20051,38,194
SAL20052,329,113
SAL20053,8500,250
SAL20054,92,231
SAL20055,0,0
SAL20056,212,200
SAL20057,95,425
SAL20058,23,0
SAL20059,12,225
SAL20060,16,0
SAL20061,32,300
SAL20062,3170,340
SAL20063,497,220
SAL20064,18,0
SAL20065,272,255
SAL20066,9368,421
SAL20067,90,175
SAL20068,11247,420
SAL20069,56,100
SAL20070,19,154
SAL20071,478,218
SAL20072,414,435
SAL20073,93,240
SAL20074,2571,350
SAL20075,15197,370
SAL20076,242,357
SAL20077,7952,455
SAL20078,7154,391
SAL20079,7285,460
SAL20080,6427,496
SAL20081,147,231
SAL20082,3309,358
SAL20083,3,0
SAL20084,5,0
SAL20085,255,398
SAL20086,1112,300
SAL20087,1356,210
SAL20088,8,0
SAL20089,12388,400
SAL20090,42,295
SAL20091,844,356
SAL20092,452,270
SAL20093,984,330
SAL20094,39,200
SAL20095,7808,330
SAL20096,347,260
SAL20097,1610,323
SAL20098,10,0
SAL20099,355,400
SAL20100,39,210
SAL20101,56,175
SAL20102,120,275
SAL20103,7905,270
SAL20104,180,313
SAL20105,5392,386
SAL20106,114,230
SAL20107,59,300
SAL20108,3392,330
SAL20109,71,150
SAL20110,19,80
SAL20111,5378,300
SAL20112,5937,290
SAL20113,4041,285
SAL20114,120,120
SAL20115,254,300
SAL20116,199,410
SAL20117,77,114
SAL20118,135,260
SAL20119,281,100
SAL20120,2371,480
SAL20121,471,423
SAL20122,9,0
SAL20123,13495,451
SAL20124,21302,554
SAL20125,491,213
SAL20126,282,160
SAL20127,115,300
SAL20128,44,275
SAL20129,855,380
SAL20130,62,200
SAL20131,749,176
SAL20132,78,230
SAL20133,6470,390
SAL20134,22,0
SAL20135,27,0
SAL20136,3041,355
SAL20137,82,165
SAL20138,185,323
SAL20139,11,250
SAL20140,141,253
SAL20141,487,250
SAL20142,49,0
SAL20143,41,0
SAL20144,229,190
SAL20145,12,100
SAL20146,987,293
SAL20147,188,210
SAL20148,149,298
SAL20149,458,300
SAL20150,291,370
SAL20151,247,301
SAL20152,22,0
SAL20153,11,220
SAL20154,45,235
SAL20155,5,0
SAL20156,39,268
SAL20157,33,0
SAL20158,10,0
SAL20159,96,200
SAL20160,269,250
SAL20161,136,230
SAL20162,4353,450
SAL20163,23,0
SAL20164,405,225
SAL20165,1141,325
SAL20166,76,250
SAL20167,0,0
SAL20168,30,0
SAL20169,2166,360
SAL20170,22,0
SAL20171,445,425
SAL20172,95,305
SAL20173,12262,375
SAL20174,9014,360
SAL20175,7267,390
SAL20176,2997,368
SAL20177,213,130
SAL20178,167,185
SAL20179,53,125
SAL20180,44,185
SAL20181,1712,250
SAL20182,13947,612
SAL20183,24,0
SAL20184,394,220
SAL20185,125,185
SAL20186,4274,300
SAL20187,17,340
SAL20188,3894,401
SAL20189,1398,373
SAL20190,1670,450
SAL20191,5602,340
SAL20192,5083,350
SAL20193,169,350
SAL20194,5,0
SAL20195,1346,380
SAL20196,393,308
SAL20197,59,0
SAL20198,1996,375
SAL20199,0,0
SAL20200,151,525
SAL20201,15066,350
SAL20202,72,220
SAL20203,303,285
SAL20204,10822,250
SAL20205,173,150
SAL20206,69,0
SAL20207,267,300
SAL20208,5652,290
SAL20209,109,158
SAL20210,93,300
SAL20211,56,0
SAL20212,138,417
SAL20213,42,0
SAL20214,17921,480
SAL20215,30159,500
SAL20216,9,0
SAL20217,165,300
SAL20218,52,20
SAL20219,194,250
SAL20220,35,180
SAL20221,180,150
SAL20222,37,200
SAL20223,174,205
SAL20224,50298,400
SAL20225,113,140
SAL20226,135,228
SAL20227,84,125
SAL20228,13,0
SAL20229,485,260
SAL20230,101,193
SAL20231,312,78
SAL20232,337,150
SAL20233,4642,400
SAL20234,8,0
SAL20235,281,280
SAL20236,38,275
SAL20237,60,185
SAL20238,61,0
SAL20239,0,0
SAL20240,11,50
SAL20241,49,0
SAL20242,134,250
SAL20243,8,0
SAL20244,694,155
SAL20245,9,0
SAL20246,748,300
SAL20247,942,300
SAL20248,4276,366
SAL20249,2124,290
SAL20250,274,200
SAL20251,6389,541
SAL20252,14478,411
SAL20253,7627,431
SAL20254,10939,410
SAL20255,38,0
SAL20256,387,305
SAL20257,2786,400
SAL20258,43,250
SAL20259,237,325
SAL20260,1290,360
SAL20261,82,150
SAL20262,25,175
SAL20263,100,300
SAL20264,84,180
SAL20265,8,180
SAL20266,88,0
SAL20267,93,175
SAL20268,19,150
SAL20269,14,0
SAL20270,307,200
SAL20271,4,0
SAL20272,185,550
SAL20273,15,0
SAL20274,647,220
SAL20275,48,250
SAL20276,107,285
SAL20277,52,0
SAL20278,6855,391
SAL20279,610,225
SAL20280,314,400
SAL20281,48,0
SAL20282,333,381
SAL20283,666,296
SAL20284,949,398
SAL20285,159,210
SAL20286,0,0
SAL20287,5,0
SAL20288,1023,218
SAL20289,147,2077
SAL20290,9,0
SAL20291,38,100
SAL20292,14,150
SAL20293,18,350
SAL20294,142,250
SAL20295,135,300
SAL20296,13,0
SAL20297,53,215
SAL20298,166,225
SAL20299,54,92
SAL20300,940,180
SAL20301,108,461
SAL20302,79,290
SAL20303,33,65
SAL20304,23607,376
SAL20305,59,300
SAL20306,85,220
SAL20307,6739,404
SAL20308,154,162
SAL20309,209,295
SAL20310,51,200
SAL20311,42,260
SAL20312,106,160
SAL20313,44,0
SAL20314,14353,381
SAL20315,12337,425
SAL20316,8491,425
SAL20317,19,0
SAL20318,12,0
SAL20319,46,73
SAL20320,25,504
SAL20321,94,0
SAL20322,304,170
SAL20323,14,0
SAL20324,9682,312
SAL20325,39,168
SAL20326,1060,300
SAL20327,151,389
SAL20328,29,125
SAL20329,47,250
SAL20330,1133,250
SAL20331,3220,411
SAL20332,117,200
SAL20333,133,115
SAL20334,54,345
SAL20335,341,215
SAL20336,2620,300
SAL20337,23252,600
SAL20338,16757,600
SAL20339,181,165
SAL20340,11,0
SAL20341,56,225
