route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"1-Ech-A-mjp-1","T6","5592.T6.1-Ech-A-mjp-1.1.H","1-Ech-A-mjp-1.1.H","Melbourne","0"
"1-Ech-A-mjp-1","T6","5748.T6.1-Ech-A-mjp-1.2.R","1-Ech-A-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-B-mjp-1","T2","6205.T2.1-Ech-B-mjp-1.1.H","1-Ech-B-mjp-1.1.H","Melbourne","0"
"1-Ech-B-mjp-1","T2","6206.T2.1-Ech-B-mjp-1.1.H","1-Ech-B-mjp-1.1.H","Melbourne","0"
"1-Ech-B-mjp-1","T2","6284.T2.1-Ech-B-mjp-1.2.R","1-Ech-B-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-B-mjp-1","T2","6285.T2.1-Ech-B-mjp-1.2.R","1-Ech-B-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-C-mjp-1","UJ","6659.UJ.1-Ech-C-mjp-1.1.H","1-Ech-C-mjp-1.1.H","Melbourne","0"
"1-Ech-C-mjp-1","UJ","6660.UJ.1-Ech-C-mjp-1.1.H","1-Ech-C-mjp-1.1.H","Melbourne","0"
"1-Ech-C-mjp-1","UJ","6726.UJ.1-Ech-C-mjp-1.2.R","1-Ech-C-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-C-mjp-1","UJ","6727.UJ.1-Ech-C-mjp-1.2.R","1-Ech-C-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-D-mjp-1","UO","7270.UO.1-Ech-D-mjp-1.1.H","1-Ech-D-mjp-1.1.H","Melbourne","0"
"1-Ech-D-mjp-1","UO","7415.UO.1-Ech-D-mjp-1.2.R","1-Ech-D-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-E-mjp-1","UP","7968.UP.1-Ech-E-mjp-1.1.H","1-Ech-E-mjp-1.1.H","Melbourne","0"
"1-Ech-E-mjp-1","UP","8145.UP.1-Ech-E-mjp-1.2.R","1-Ech-E-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-F-mjp-1","T5","8645.T5.1-Ech-F-mjp-1.1.H","1-Ech-F-mjp-1.1.H","Melbourne","0"
"1-Ech-F-mjp-1","T5","8827.T5.1-Ech-F-mjp-1.2.R","1-Ech-F-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-G-mjp-1","T6_1","9376.T6.1-Ech-G-mjp-1.1.H","1-Ech-G-mjp-1.1.H","Melbourne","0"
"1-Ech-G-mjp-1","T6_1","9558.T6.1-Ech-G-mjp-1.2.R","1-Ech-G-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-H-mjp-1","T2_1","113.T2.1-Ech-H-mjp-1.1.H","1-Ech-H-mjp-1.1.H","Melbourne","0"
"1-Ech-H-mjp-1","T2_1","114.T2.1-Ech-H-mjp-1.1.H","1-Ech-H-mjp-1.1.H","Melbourne","0"
"1-Ech-H-mjp-1","T2_1","216.T2.1-Ech-H-mjp-1.2.R","1-Ech-H-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-H-mjp-1","T2_1","217.T2.1-Ech-H-mjp-1.2.R","1-Ech-H-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-I-mjp-1","UJ_1","479.UJ.1-Ech-I-mjp-1.1.H","1-Ech-I-mjp-1.1.H","Melbourne","0"
"1-Ech-I-mjp-1","UJ_1","480.UJ.1-Ech-I-mjp-1.1.H","1-Ech-I-mjp-1.1.H","Melbourne","0"
"1-Ech-I-mjp-1","UJ_1","573.UJ.1-Ech-I-mjp-1.2.R","1-Ech-I-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-I-mjp-1","UJ_1","574.UJ.1-Ech-I-mjp-1.2.R","1-Ech-I-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-J-mjp-1","T5_1","1112.T5.1-Ech-J-mjp-1.2.R","1-Ech-J-mjp-1.2.R","Echuca/Moama","1"
"1-Ech-J-mjp-1","T5_1","943.T5.1-Ech-J-mjp-1.1.H","1-Ech-J-mjp-1.1.H","Melbourne","0"
"1-Ech-K-mjp-1","UR","1634.UR.1-Ech-K-mjp-1.1.H","1-Ech-K-mjp-1.1.H","Melbourne","0"
"1-Ech-K-mjp-1","UR","1816.UR.1-Ech-K-mjp-1.2.R","1-Ech-K-mjp-1.2.R","Echuca/Moama","1"
