route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"2-ain-A-mjp-1","T2","8869.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8870.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8871.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8872.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8873.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8874.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8875.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8876.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8877.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8878.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8879.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8880.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8881.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8882.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8883.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8884.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8885.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8886.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8887.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8888.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8889.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8890.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8891.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8892.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8893.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8894.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8895.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8896.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8897.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8898.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8899.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8900.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8901.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8902.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8903.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8904.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8905.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8906.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8907.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8908.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8909.T2.2-ain-A-mjp-1.4.R","2-ain-A-mjp-1.4.R","Showgrounds/Flemington","1"
"2-ain-A-mjp-1","T2","8910.T2.2-ain-A-mjp-1.2.H","2-ain-A-mjp-1.2.H","Flinders Street","0"
"2-ain-A-mjp-1","T2","8911.T2.2-ain-A-mjp-1.1.H","2-ain-A-mjp-1.1.H","Flinders Street","0"
"2-ain-A-mjp-1","UJ","8912.UJ.2-ain-A-mjp-1.3.H","2-ain-A-mjp-1.3.H","Flinders Street","0"
"2-ain-C-mjp-1","T2_1","2639.T2.2-ain-C-mjp-1.1.H","2-ain-C-mjp-1.1.H","Flinders Street","0"
"2-ain-C-mjp-1","UJ_1","2640.UJ.2-ain-C-mjp-1.2.H","2-ain-C-mjp-1.2.H","Flinders Street","0"
"2-ain-D-mjp-1","UJ_2","5755.UJ.2-ain-D-mjp-1.2.H","2-ain-D-mjp-1.2.H","Flinders Street","0"
"2-ain-D-mjp-1","T2_2","5756.T2.2-ain-D-mjp-1.1.H","2-ain-D-mjp-1.1.H","Flinders Street","0"
"2-ALM-B-mjp-1","T6","5050.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5052.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5054.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5056.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5058.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5060.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5064.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5066.T6.2-ALM-B-mjp-1.3.H","2-ALM-B-mjp-1.3.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5068.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5070.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5074.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5076.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5080.T6.2-ALM-B-mjp-1.4.H","2-ALM-B-mjp-1.4.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5082.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5086.T6.2-ALM-B-mjp-1.5.H","2-ALM-B-mjp-1.5.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5088.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5090.T6.2-ALM-B-mjp-1.6.H","2-ALM-B-mjp-1.6.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5094.T6.2-ALM-B-mjp-1.7.H","2-ALM-B-mjp-1.7.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5098.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5102.T6.2-ALM-B-mjp-1.12.R","2-ALM-B-mjp-1.12.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5106.T6.2-ALM-B-mjp-1.13.R","2-ALM-B-mjp-1.13.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5110.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5114.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5118.T6.2-ALM-B-mjp-1.14.R","2-ALM-B-mjp-1.14.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5122.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5124.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5128.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5132.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5134.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5138.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5142.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5146.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5150.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5152.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5154.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5156.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5160.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5162.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5166.T6.2-ALM-B-mjp-1.11.R","2-ALM-B-mjp-1.11.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5168.T6.2-ALM-B-mjp-1.2.H","2-ALM-B-mjp-1.2.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5172.T6.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T2","5176.T2.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5177.T6.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T2","5181.T2.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T2","5182.T2.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T2","5183.T2.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T2","5184.T2.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5185.T6.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T2","5187.T2.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5188.T6.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T2","5190.T2.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5191.T6.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T2","5193.T2.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5194.T6.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T2","5196.T2.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5197.T6.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T2","5199.T2.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5200.T6.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T2","5202.T2.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5203.T6.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T2","5205.T2.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","UJ","5206.UJ.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5207.T6.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T2","5211.T2.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","UJ","5212.UJ.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5213.T6.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T2","5215.T2.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","UJ","5216.UJ.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5217.T6.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T2","5221.T2.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5222.T6.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T2","5224.T2.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T6","5225.T6.2-ALM-B-mjp-1.9.R","2-ALM-B-mjp-1.9.R","City (Flinders Street)","1"
"2-ALM-B-mjp-1","T2","5229.T2.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","UJ","5230.UJ.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
"2-ALM-B-mjp-1","T6","5231.T6.2-ALM-B-mjp-1.1.H","2-ALM-B-mjp-1.1.H","Alamein","0"
