route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"6-13-mjp-1","UZ","10.UZ.6-13-mjp-1.2.H","6-13-mjp-1.2.H","Paynesville","0"
"6-13-mjp-1","UZ","20.UZ.6-13-mjp-1.3.R","6-13-mjp-1.3.R","Bairnsdale","1"
"6-13-mjp-1","T0","6008.T0.6-13-mjp-1.1.H","6-13-mjp-1.1.H","Paynesville","0"
"6-13-mjp-1","T0","6010.T0.6-13-mjp-1.1.H","6-13-mjp-1.1.H","Paynesville","0"
"6-13-mjp-1","T0","6011.T0.6-13-mjp-1.1.H","6-13-mjp-1.1.H","Paynesville","0"
"6-13-mjp-1","T0","6043.T0.6-13-mjp-1.2.H","6-13-mjp-1.2.H","Paynesville","0"
"6-13-mjp-1","T0","6044.T0.6-13-mjp-1.2.H","6-13-mjp-1.2.H","Paynesville","0"
"6-13-mjp-1","T2","6084.T2.6-13-mjp-1.2.H","6-13-mjp-1.2.H","Paynesville","0"
"6-13-mjp-1","T0","6632.T0.6-13-mjp-1.3.R","6-13-mjp-1.3.R","Bairnsdale","1"
"6-13-mjp-1","T0","6634.T0.6-13-mjp-1.4.R","6-13-mjp-1.4.R","Bairnsdale","1"
"6-13-mjp-1","T0","6635.T0.6-13-mjp-1.3.R","6-13-mjp-1.3.R","Bairnsdale","1"
"6-13-mjp-1","T0","6662.T0.6-13-mjp-1.5.R","6-13-mjp-1.5.R","Bairnsdale","1"
"6-13-mjp-1","T2","6689.T2.6-13-mjp-1.3.R","6-13-mjp-1.3.R","Bairnsdale","1"
"6-14-mjp-1","T0+a5","8904.T0.6-14-mjp-1.2.R","6-14-mjp-1.2.R","Omeo","1"
"6-14-mjp-1","T0+a6","8905.T0.6-14-mjp-1.2.R","6-14-mjp-1.2.R","Omeo","1"
"6-14-mjp-1","T0+lm","9241.T0.6-14-mjp-1.1.H","6-14-mjp-1.1.H","Bairnsdale","0"
"6-14-mjp-1","T0+pn","9969.T0.6-14-mjp-1.1.H","6-14-mjp-1.1.H","Bairnsdale","0"
"6-14-mjp-1","T0+lm","9970.T0.6-14-mjp-1.1.H","6-14-mjp-1.1.H","Bairnsdale","0"
"6-209-mjp-1","T2","5794.T2.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Wurruk","1"
"6-209-mjp-1","T2","5795.T2.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Wurruk","1"
"6-209-mjp-1","T2","5796.T2.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Wurruk","1"
"6-209-mjp-1","T2","5797.T2.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Sale","0"
"6-209-mjp-1","T2","5798.T2.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Sale","0"
"6-209-mjp-1","T2","5799.T2.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Sale","0"
"6-209-mjp-1","T2","5830.T2.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Wurruk","1"
"6-209-mjp-1","T2","5831.T2.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Sale","0"
"6-209-mjp-1","T0","5854.T0.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Wurruk","1"
"6-209-mjp-1","T0","5855.T0.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Wurruk","1"
"6-209-mjp-1","T0","5856.T0.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Wurruk","1"
"6-209-mjp-1","T0","5857.T0.6-209-mjp-1.2.R","6-209-mjp-1.2.R","Wurruk","1"
"6-209-mjp-1","T0","5858.T0.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Sale","0"
"6-209-mjp-1","T0","5859.T0.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Sale","0"
"6-209-mjp-1","T0","5860.T0.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Sale","0"
"6-209-mjp-1","T0","5861.T0.6-209-mjp-1.1.H","6-209-mjp-1.1.H","Sale","0"
"6-20b-mjp-1","UZ","23.UZ.6-20b-mjp-1.1.H","6-20b-mjp-1.1.H","Merbein","0"
"6-20b-mjp-1","UZ","24.UZ.6-20b-mjp-1.1.H","6-20b-mjp-1.1.H","Merbein","0"
"6-20b-mjp-1","UJ","29.UJ.6-20b-mjp-1.3.R","6-20b-mjp-1.3.R","MilduraCity","1"
"6-20b-mjp-1","UJ","30.UJ.6-20b-mjp-1.3.R","6-20b-mjp-1.3.R","MilduraCity","1"
"6-20b-mjp-1","UZ","47.UZ.6-20b-mjp-1.3.R","6-20b-mjp-1.3.R","MilduraCity","1"
"6-20b-mjp-1","UZ","48.UZ.6-20b-mjp-1.3.R","6-20b-mjp-1.3.R","MilduraCity","1"
"6-20b-mjp-1","UJ","5.UJ.6-20b-mjp-1.1.H","6-20b-mjp-1.1.H","Merbein","0"
"6-20b-mjp-1","UJ","6.UJ.6-20b-mjp-1.1.H","6-20b-mjp-1.1.H","Merbein","0"
"6-20b-mjp-1","T0","8795.T0.6-20b-mjp-1.1.H","6-20b-mjp-1.1.H","Merbein","0"
"6-20b-mjp-1","T0","8797.T0.6-20b-mjp-1.1.H","6-20b-mjp-1.1.H","Merbein","0"
"6-20b-mjp-1","T0","8799.T0.6-20b-mjp-1.1.H","6-20b-mjp-1.1.H","Merbein","0"
"6-20b-mjp-1","T0","8802.T0.6-20b-mjp-1.2.H","6-20b-mjp-1.2.H","Merbein","0"
"6-20b-mjp-1","T2","8808.T2.6-20b-mjp-1.1.H","6-20b-mjp-1.1.H","Merbein","0"
"6-20b-mjp-1","T0","8815.T0.6-20b-mjp-1.3.R","6-20b-mjp-1.3.R","MilduraCity","1"
"6-20b-mjp-1","T0","8818.T0.6-20b-mjp-1.3.R","6-20b-mjp-1.3.R","MilduraCity","1"
"6-20b-mjp-1","T0","8820.T0.6-20b-mjp-1.3.R","6-20b-mjp-1.3.R","MilduraCity","1"
"6-20b-mjp-1","T0","8822.T0.6-20b-mjp-1.3.R","6-20b-mjp-1.3.R","MilduraCity","1"
"6-20b-mjp-1","T0","8824.T0.6-20b-mjp-1.3.R","6-20b-mjp-1.3.R","MilduraCity","1"
"6-20b-mjp-1","T2","8829.T2.6-20b-mjp-1.3.R","6-20b-mjp-1.3.R","MilduraCity","1"
