route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"3-109-A-mjp-1","UJ","1939.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1940.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1941.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1942.UJ.3-109-A-mjp-1.9.R","3-109-A-mjp-1.9.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1943.UJ.3-109-A-mjp-1.7.R","3-109-A-mjp-1.7.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1944.UJ.3-109-A-mjp-1.4.H","3-109-A-mjp-1.4.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1945.UJ.3-109-A-mjp-1.10.R","3-109-A-mjp-1.10.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1946.UJ.3-109-A-mjp-1.2.H","3-109-A-mjp-1.2.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1947.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1948.UJ.3-109-A-mjp-1.2.H","3-109-A-mjp-1.2.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1949.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1950.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1951.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1952.UJ.3-109-A-mjp-1.10.R","3-109-A-mjp-1.10.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1953.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1954.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1955.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1956.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1957.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1958.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1959.UJ.3-109-A-mjp-1.4.H","3-109-A-mjp-1.4.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1960.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1961.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1962.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1963.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1964.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1965.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1966.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1967.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1968.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1969.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1970.UJ.3-109-A-mjp-1.4.H","3-109-A-mjp-1.4.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1971.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1972.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1973.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1974.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1975.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1976.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1977.UJ.3-109-A-mjp-1.6.R","3-109-A-mjp-1.6.R","Box Hill to Port Melbourne","1"
"3-109-A-mjp-1","UJ","1978.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1979.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1980.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1981.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1982.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1983.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1984.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
"3-109-A-mjp-1","UJ","1985.UJ.3-109-A-mjp-1.1.H","3-109-A-mjp-1.1.H","Port Melbourne to Box Hill","0"
