route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"5-995-A-mjp-1","T6","5463.T6.5-995-A-mjp-1.1.H","5-995-A-mjp-1.1.H","Warrnambool","0"
"5-995-A-mjp-1","T6","5803.T6.5-995-A-mjp-1.2.R","5-995-A-mjp-1.2.R","Melbourne","1"
"5-995-C-mjp-1","UJ","6614.UJ.5-995-C-mjp-1.1.H","5-995-C-mjp-1.1.H","Warrnambool","0"
"5-995-C-mjp-1","UJ","6752.UJ.5-995-C-mjp-1.2.R","5-995-C-mjp-1.2.R","Melbourne","1"
"5-995-E-mjp-1","UP","7840.UP.5-995-E-mjp-1.1.H","5-995-E-mjp-1.1.H","Warrnambool","0"
"5-995-E-mjp-1","UP","8283.UP.5-995-E-mjp-1.2.R","5-995-E-mjp-1.2.R","Melbourne","1"
"5-995-G-mjp-1","T6_1","9239.T6.5-995-G-mjp-1.1.H","5-995-G-mjp-1.1.H","Warrnambool","0"
"5-995-G-mjp-1","T6_1","9732.T6.5-995-G-mjp-1.2.R","5-995-G-mjp-1.2.R","Melbourne","1"
"5-995-I-mjp-1","UJ_1","412.UJ.5-995-I-mjp-1.1.H","5-995-I-mjp-1.1.H","Warrnambool","0"
"5-995-I-mjp-1","UJ_1","623.UJ.5-995-I-mjp-1.2.R","5-995-I-mjp-1.2.R","Melbourne","1"
"5-995-J-mjp-1","T5+ap","1272.T5.5-995-J-mjp-1.2.R","5-995-J-mjp-1.2.R","Melbourne","1"
"5-995-J-mjp-1","T5+ap","806.T5.5-995-J-mjp-1.1.H","5-995-J-mjp-1.1.H","Warrnambool","0"
"5-995-L-mjp-1","T6_2","2280.T6.5-995-L-mjp-1.1.H","5-995-L-mjp-1.1.H","Warrnambool","0"
"5-995-L-mjp-1","T6_2","2710.T6.5-995-L-mjp-1.2.R","5-995-L-mjp-1.2.R","Melbourne","1"
"5-995-N-mjp-1","UJ_2","3208.UJ.5-995-N-mjp-1.1.H","5-995-N-mjp-1.1.H","Warrnambool","0"
"5-995-N-mjp-1","UJ_2","3440.UJ.5-995-N-mjp-1.2.R","5-995-N-mjp-1.2.R","Melbourne","1"
"5-995-O-mjp-1","T5+ta","3660.T5.5-995-O-mjp-1.1.H","5-995-O-mjp-1.1.H","Warrnambool","0"
"5-995-O-mjp-1","T5+ta","4165.T5.5-995-O-mjp-1.2.R","5-995-O-mjp-1.2.R","Melbourne","1"
"5-995-Q-mjp-1","UJ_3","5007.UJ.5-995-Q-mjp-1.1.H","5-995-Q-mjp-1.1.H","Warrnambool","0"
"5-995-Q-mjp-1","T0+ls","5008.T0.5-995-Q-mjp-1.1.H","5-995-Q-mjp-1.1.H","Warrnambool","0"
"5-995-Q-mjp-1","UJ_3","6152.UJ.5-995-Q-mjp-1.2.R","5-995-Q-mjp-1.2.R","Melbourne","1"
"5-995-Q-mjp-1","T0+ls","6153.T0.5-995-Q-mjp-1.2.R","5-995-Q-mjp-1.2.R","Melbourne","1"
"5-995-R-mjp-1","T6_3","6338.T6.5-995-R-mjp-1.1.H","5-995-R-mjp-1.1.H","Warrnambool","0"
"5-995-R-mjp-1","T6_3","7234.T6.5-995-R-mjp-1.2.R","5-995-R-mjp-1.2.R","Melbourne","1"
"5-995-S-mjp-1","UJ_4","7419.UJ.5-995-S-mjp-1.1.H","5-995-S-mjp-1.1.H","Warrnambool","0"
"5-995-S-mjp-1","T0+ls_1","7420.T0.5-995-S-mjp-1.1.H","5-995-S-mjp-1.1.H","Warrnambool","0"
"5-995-S-mjp-1","UJ_4","8567.UJ.5-995-S-mjp-1.2.R","5-995-S-mjp-1.2.R","Melbourne","1"
"5-995-S-mjp-1","T0+ls_1","8568.T0.5-995-S-mjp-1.2.R","5-995-S-mjp-1.2.R","Melbourne","1"
"5-995-T-mjp-1","UJ_5","8773.UJ.5-995-T-mjp-1.1.H","5-995-T-mjp-1.1.H","Warrnambool","0"
"5-995-T-mjp-1","T0+ls_2","8774.T0.5-995-T-mjp-1.1.H","5-995-T-mjp-1.1.H","Warrnambool","0"
"5-995-T-mjp-1","UJ_5","9927.UJ.5-995-T-mjp-1.2.R","5-995-T-mjp-1.2.R","Melbourne","1"
"5-995-T-mjp-1","T0+ls_2","9928.T0.5-995-T-mjp-1.2.R","5-995-T-mjp-1.2.R","Melbourne","1"
"5-995-U-mjp-1","UJ_6","1.UJ.5-995-U-mjp-1.1.H","5-995-U-mjp-1.1.H","Warrnambool","0"
"5-995-U-mjp-1","T0+ls_3","116.T0.5-995-U-mjp-1.1.H","5-995-U-mjp-1.1.H","Warrnambool","0"
"5-995-U-mjp-1","T0+ls_3","1273.T0.5-995-U-mjp-1.2.R","5-995-U-mjp-1.2.R","Melbourne","1"
"5-995-U-mjp-1","UJ_6","2.UJ.5-995-U-mjp-1.2.R","5-995-U-mjp-1.2.R","Melbourne","1"
