"16765","46-Fraser St/High St (Malvern)","-37.8575575292364","145.035799731109"
"16766","45-De La Salle College/High St (Malvern)","-37.8571574650463","145.032889240976"
"16767","44-Glenferrie Rd/High St (Malvern)","-37.8567043037329","145.02950282056"
"16768","43-Mercer Rd/High St (Armadale)","-37.8562889822279","145.026229094255"
"16769","42-Huntingtower Rd/High St (Armadale)","-37.8559963534832","145.023827309351"
"16770","41-Kooyong Rd/High St (Armadale)","-37.8555850786323","145.020803590932"
"16771","40-Armadale Station/High St (Armadale)","-37.8552743249116","145.018402337578"
"16772","39-Auburn Gr/High St (Armadale)","-37.8548715368821","145.015355721945"
"16773","38-Orrong Rd/High St (Armadale)","-37.8543864402974","145.011708968351"
"16774","37-Airlie Ave/High St (Prahran)","-37.8539928730026","145.00868491183"
"16775","36-Chatsworth Rd/High St (Prahran)","-37.8537639403415","145.006872572986"
"16776","35-Williams Rd/High St (Prahran)","-37.8531690918207","145.002615157312"
"16777","34-Lewisham Rd/High St (Prahran)","-37.8528292112475","145.000112562951"
"16778","33-The Avenue/High St (Prahran)","-37.852623378873","144.998606523123"
"1696","51-Nott St/Wattletree Rd (Malvern East)","-37.8647820884121","145.046998020808"
"17306","40-North Coburg Terminus/Sydney Rd (Coburg North)","-37.7275799981749","144.963650151836"
"17307","39-Mercy College/Sydney Rd (Coburg North)","-37.7298906497122","144.963859170437"
"17308","38-Carr St/Sydney Rd (Coburg North)","-37.7321118173884","144.964626647696"
"17309","37-Gaffney St/Sydney Rd (Coburg North)","-37.733855577222","144.965407237242"
"17310","36-Rogers St/Sydney Rd (Coburg)","-37.7355343214141","144.9660761667"
"17311","35-St Pauls Catholic Church/Sydney Rd (Coburg)","-37.7375046330419","144.96693005852"
"17312","34-Bell St/Sydney Rd (Coburg)","-37.7411587871036","144.966659853407"
"17313","33-Coburg Market/Sydney Rd (Coburg)","-37.7431361532803","144.966356069976"
"17314","32-Harding St/Sydney Rd (Coburg)","-37.7448883276337","144.966058433153"
"17315","31-Edward St/Sydney Rd (Coburg)","-37.7484735438061","144.965449547379"
"17316","30-The Avenue/Sydney Rd (Coburg)","-37.7518605863115","144.96484602495"
"17317","29-Moore St/Sydney Rd (Coburg)","-37.7535046614548","144.96455127064"
"17318","28-Moreland Rd/Sydney Rd (Coburg)","-37.7553108713523","144.964252057159"
"17319","27-Brunswick Tram Depot/Sydney Rd (Brunswick)","-37.7574221603303","144.963876357798"
"17320","26-Albion St/Sydney Rd (Brunswick)","-37.7607377137769","144.963308686831"
"17321","25-Stewart St/Sydney Rd (Brunswick)","-37.7630828003152","144.962903807962"
"17322","24-Blyth St/Sydney Rd (Brunswick)","-37.7653560197257","144.962512224513"
"17323","23-Victoria St/Sydney Rd (Brunswick)","-37.7669822636514","144.962229192841"
"17324","22-Albert St/Sydney Rd (Brunswick)","-37.7687612416234","144.961919248583"
"17325","21-Glenlyon Rd/Sydney Rd (Brunswick)","-37.7713669471506","144.961473053776"
"17327","19-Brunswick Rd/Sydney Rd (Brunswick)","-37.7776474907445","144.960392220027"
"17329","17-Ievers St/Royal Pde (Parkville)","-37.7816841980721","144.959838430183"
"17330","16-Walker St/Royal Pde (Parkville)","-37.7845892964667","144.959508732384"
"17331","15-Leonard St/Royal Pde (Parkville)","-37.7876737550257","144.959128647263"
"17332","14-Cemetery Road West/Royal Pde (Parkville)","-37.7897151117883","144.958879432929"
"17333","13-Gatehouse St/Royal Pde (Parkville)","-37.7924218402772","144.958543751493"
"17334","12-Morrah St/Royal Pde (Parkville)","-37.7955605312124","144.95817343435"
"17335","11-University of Melbourne/Royal Pde (Parkville)","-37.7981053160361","144.957853507901"
"17591","7-Russell St/Bourke St (Melbourne City)","-37.8127688688785","144.968354387868"
"17593","6-Swanston St/Bourke St (Melbourne City)","-37.8134835507977","144.965903891989"
"17594","5-Elizabeth St/Bourke St (Melbourne City)","-37.8142171770888","144.963509626128"
"17596","4-Queen St/Bourke St (Melbourne City)","-37.8152529948377","144.959834721279"
"17597","3-William St/Bourke St (Melbourne City)","-37.8158815560819","144.957624990924"
"17602","32-Hornby St/High St (Prahran)","-37.8523538154947","144.99653394762"
"17603","31-Chapel St/High St (Prahran)","-37.8519512424026","144.993533036311"
"17604","30-Prahran Station/High St (Windsor)","-37.8513923354106","144.98929759429"
"17605","29-Perth St/High St (Windsor)","-37.8512067115911","144.987927449006"
"17606","28-Punt Rd/High St (Windsor)","-37.8507583612407","144.9843709904"
"1784","37-Gaffney St/Sydney Rd (Coburg)","-37.7340974118228","144.965321186506"
"17848","1-Spencer St/Bourke St (Melbourne City)","-37.8170628127416","144.953514231716"
"17849","1-Spencer St/Bourke St (Melbourne City)","-37.8168459149142","144.95399733594"
"17850","1-Flinders Street Railway Station/Elizabeth St (Melbourne City)","-37.8177174258463","144.964765269617"
"17851","2-Collins St/Elizabeth St (Melbourne City)","-37.8154275172825","144.963669478382"
"17852","3-Bourke Street Mall/Elizabeth St (Melbourne City)","-37.8134471934083","144.962758349579"
